r,,,,,,,,
br,bn,bb,ba,bk,ba,bb,bn,br
--,--,--,--,--,--,--,--,--
--,bc,--,--,--,--,--,bc,--
bp,--,bp,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,--,--,--,--,--,--,--
rp,--,rp,--,rp,--,rp,--,rp
--,rc,--,--,rb,--,--,rc,--
--,--,--,--,--,--,--,--,--
rr,rn,rb,ra,rk,ra,--,rn,rr
br,--,bb,ba,bk,ba,bb,bn,br
--,--,--,--,--,--,--,--,--
--,bc,bn,--,--,--,--,bc,--
bp,--,bp,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,--,--,--,--,--,--,--
rp,--,rp,--,rp,--,rp,--,rp
--,rc,--,--,rb,--,--,rc,--
--,--,--,--,--,--,--,--,--
rr,rn,rb,ra,rk,ra,--,rn,rr
br,--,bb,ba,bk,ba,bb,bn,br
--,--,--,--,--,--,--,--,--
--,bc,bn,--,--,--,--,bc,--
bp,--,bp,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,--,--,--,--,--,--,--
rp,--,rp,--,rp,--,rp,--,rp
--,--,rc,--,rb,--,--,rc,--
--,--,--,--,--,--,--,--,--
rr,rn,rb,ra,rk,ra,--,rn,rr
br,--,bb,ba,bk,ba,bb,bn,br
--,--,--,--,--,--,--,--,--
--,bc,bn,--,bc,--,--,--,--
bp,--,bp,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,--,--,--,--,--,--,--
rp,--,rp,--,rp,--,rp,--,rp
--,--,rc,--,rb,--,--,rc,--
--,--,--,--,--,--,--,--,--
rr,rn,rb,ra,rk,ra,--,rn,rr
br,--,bb,ba,bk,ba,bb,bn,br
--,--,--,--,--,--,--,--,--
--,bc,bn,--,bc,--,--,--,--
bp,--,bp,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,--,--,--,--,--,--,--
rp,--,rp,--,rp,--,rp,--,rp
rn,--,rc,--,rb,--,--,rc,--
--,--,--,--,--,--,--,--,--
rr,--,rb,ra,rk,ra,--,rn,rr
--,br,bb,ba,bk,ba,bb,bn,br
--,--,--,--,--,--,--,--,--
--,bc,bn,--,bc,--,--,--,--
bp,--,bp,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,--,--,--,--,--,--,--
rp,--,rp,--,rp,--,rp,--,rp
rn,--,rc,--,rb,--,--,rc,--
--,--,--,--,--,--,--,--,--
rr,--,rb,ra,rk,ra,--,rn,rr
--,br,bb,ba,bk,ba,bb,bn,br
--,--,--,--,--,--,--,--,--
--,bc,bn,--,bc,--,--,--,--
bp,--,bp,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,--,--,--,--,--,--,--
rp,--,rp,--,rp,--,rp,--,rp
rn,--,rc,--,rb,--,--,rc,--
--,--,--,--,--,--,--,--,--
--,rr,rb,ra,rk,ra,--,rn,rr
--,br,bb,ba,bk,ba,bb,bn,br
--,--,--,--,--,--,--,--,--
--,--,bn,--,bc,--,--,--,--
bp,--,bp,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,--,--,--,--,--,--,--
rp,--,rp,--,rp,--,rp,--,rp
rn,bc,rc,--,rb,--,--,rc,--
--,--,--,--,--,--,--,--,--
--,rr,rb,ra,rk,ra,--,rn,rr
--,br,bb,ba,bk,ba,bb,bn,br
--,--,--,--,--,--,--,--,--
--,--,bn,--,bc,--,--,--,--
bp,--,bp,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,--,--,--,--,--,--,--
rp,--,rp,--,rp,--,rp,--,rp
rn,bc,rc,--,rb,--,--,rc,--
--,--,--,--,--,rn,--,--,--
--,rr,rb,ra,rk,ra,--,--,rr
--,br,bb,ba,bk,ba,bb,bn,--
--,--,--,--,--,--,--,--,br
--,--,bn,--,bc,--,--,--,--
bp,--,bp,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,--,--,--,--,--,--,--
rp,--,rp,--,rp,--,rp,--,rp
rn,bc,rc,--,rb,--,--,rc,--
--,--,--,--,--,rn,--,--,--
--,rr,rb,ra,rk,ra,--,--,rr
--,br,bb,ba,bk,ba,bb,bn,--
--,--,--,--,--,--,--,--,br
--,--,bn,--,bc,--,--,--,--
bp,--,bp,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,rp,--,--,--,--,--,--
rp,--,--,--,rp,--,rp,--,rp
rn,bc,rc,--,rb,--,--,rc,--
--,--,--,--,--,rn,--,--,--
--,rr,rb,ra,rk,ra,--,--,rr
--,br,bb,ba,bk,ba,bb,bn,--
--,--,--,--,--,br,--,--,--
--,--,bn,--,bc,--,--,--,--
bp,--,bp,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,rp,--,--,--,--,--,--
rp,--,--,--,rp,--,rp,--,rp
rn,bc,rc,--,rb,--,--,rc,--
--,--,--,--,--,rn,--,--,--
--,rr,rb,ra,rk,ra,--,--,rr
--,br,bb,ba,bk,ba,bb,bn,--
--,--,--,--,--,br,--,--,--
--,--,bn,--,bc,--,--,--,--
bp,--,rc,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,rp,--,--,--,--,--,--
rp,--,--,--,rp,--,rp,--,rp
rn,bc,--,--,rb,--,--,rc,--
--,--,--,--,--,rn,--,--,--
--,rr,rb,ra,rk,ra,--,--,rr
--,br,bb,ba,bk,ba,bb,bn,--
--,--,--,--,--,br,--,--,--
--,--,bn,--,bc,--,--,--,--
bp,--,rc,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,rp,--,--,--,--,--,--
rp,--,--,--,rp,--,rp,--,rp
rn,--,--,--,rb,--,--,bc,--
--,--,--,--,--,rn,--,--,--
--,rr,rb,ra,rk,ra,--,--,rr
--,rr,bb,ba,bk,ba,bb,bn,--
--,--,--,--,--,br,--,--,--
--,--,bn,--,bc,--,--,--,--
bp,--,rc,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,rp,--,--,--,--,--,--
rp,--,--,--,rp,--,rp,--,rp
rn,--,--,--,rb,--,--,bc,--
--,--,--,--,--,rn,--,--,--
--,--,rb,ra,rk,ra,--,--,rr
--,bn,bb,ba,bk,ba,bb,bn,--
--,--,--,--,--,br,--,--,--
--,--,--,--,bc,--,--,--,--
bp,--,rc,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,rp,--,--,--,--,--,--
rp,--,--,--,rp,--,rp,--,rp
rn,--,--,--,rb,--,--,bc,--
--,--,--,--,--,rn,--,--,--
--,--,rb,ra,rk,ra,--,--,rr
--,bn,bb,ba,bk,ba,bb,bn,--
--,--,--,--,--,br,--,--,--
--,--,--,--,bc,--,--,--,--
bp,--,rc,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,rp,--,--,--,--,--,--
rp,--,--,--,rp,--,rp,--,rp
rn,--,--,--,rb,--,--,rn,--
--,--,--,--,--,--,--,--,--
--,--,rb,ra,rk,ra,--,--,rr
--,bn,bb,ba,bk,ba,bb,bn,--
--,--,--,--,--,br,--,--,--
--,--,--,--,--,--,--,--,--
bp,--,rc,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,rp,--,--,--,--,--,--
rp,--,--,--,bc,--,rp,--,rp
rn,--,--,--,rb,--,--,rn,--
--,--,--,--,--,--,--,--,--
--,--,rb,ra,rk,ra,--,--,rr
--,bn,bb,ba,bk,ba,bb,bn,--
--,--,--,--,--,br,--,--,--
--,--,--,--,--,--,--,--,--
bp,--,rc,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,rp,--,--,--,--,--,--
rp,--,--,--,bc,--,rp,--,rp
