r,,,,,,,,
br,bn,bb,ba,bk,ba,bb,bn,br
--,--,--,--,--,--,--,--,--
--,bc,--,--,--,--,--,bc,--
bp,--,bp,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,--,--,--,--,--,--,--
rp,--,rp,--,rp,--,rp,--,rp
--,rc,--,--,rb,--,--,rc,--
--,--,--,--,--,--,--,--,--
rr,rn,rb,ra,rk,ra,--,rn,rr
br,bn,bb,ba,bk,ba,bb,bn,br
--,--,--,--,--,--,--,--,--
--,bc,--,--,bc,--,--,--,--
bp,--,bp,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,--,--,--,--,--,--,--
rp,--,rp,--,rp,--,rp,--,rp
--,rc,--,--,rb,--,--,rc,--
--,--,--,--,--,--,--,--,--
rr,rn,rb,ra,rk,ra,--,rn,rr
br,bn,bb,ba,bk,ba,bb,bn,br
--,--,--,--,--,--,--,--,--
--,bc,--,--,bc,--,--,--,--
bp,--,bp,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,--,--,--,--,--,--,--
rp,--,rp,--,rp,--,rp,--,rp
--,rc,--,--,rb,--,rn,rc,--
--,--,--,--,--,--,--,--,--
rr,rn,rb,ra,rk,ra,--,--,rr
br,bn,bb,ba,bk,ba,bb,--,br
--,--,--,--,--,--,--,--,--
--,bc,--,--,bc,--,bn,--,--
bp,--,bp,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,--,--,--,--,--,--,--
rp,--,rp,--,rp,--,rp,--,rp
--,rc,--,--,rb,--,rn,rc,--
--,--,--,--,--,--,--,--,--
rr,rn,rb,ra,rk,ra,--,--,rr
br,bn,bb,ba,bk,ba,bb,--,br
--,--,--,--,--,--,--,--,--
--,bc,--,--,bc,--,bn,--,--
bp,--,bp,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,--,--,--,--,rp,--,--
rp,--,rp,--,rp,--,--,--,rp
--,rc,--,--,rb,--,rn,rc,--
--,--,--,--,--,--,--,--,--
rr,rn,rb,ra,rk,ra,--,--,rr
br,bn,bb,ba,bk,ba,bb,br,--
--,--,--,--,--,--,--,--,--
--,bc,--,--,bc,--,bn,--,--
bp,--,bp,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,--,--,--,--,rp,--,--
rp,--,rp,--,rp,--,--,--,rp
--,rc,--,--,rb,--,rn,rc,--
--,--,--,--,--,--,--,--,--
rr,rn,rb,ra,rk,ra,--,--,rr
br,bn,bb,ba,bk,ba,bb,br,--
--,--,--,--,--,--,--,--,--
--,bc,--,--,bc,--,bn,--,--
bp,--,bp,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,--,--,--,--,rp,--,--
rp,--,rp,--,rp,--,--,--,rp
--,rc,--,--,rb,--,rn,rc,--
--,--,--,--,--,--,--,--,--
rr,rn,rb,ra,rk,ra,--,rr,--
br,bn,bb,ba,bk,ba,bb,br,--
--,--,--,--,--,--,--,--,--
--,--,--,bc,bc,--,bn,--,--
bp,--,bp,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,--,--,--,--,rp,--,--
rp,--,rp,--,rp,--,--,--,rp
--,rc,--,--,rb,--,rn,rc,--
--,--,--,--,--,--,--,--,--
rr,rn,rb,ra,rk,ra,--,rr,--
br,bn,bb,ba,bk,ba,bb,br,--
--,--,--,--,--,--,--,--,--
--,--,--,bc,bc,--,bn,--,--
bp,--,bp,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,--,--,--,--,rp,--,--
rp,--,rp,--,rp,--,--,--,rp
--,rc,rn,--,rb,--,rn,rc,--
--,--,--,--,--,--,--,--,--
rr,--,rb,ra,rk,ra,--,rr,--
br,--,bb,ba,bk,ba,bb,br,--
--,--,--,--,--,--,--,--,--
--,--,bn,bc,bc,--,bn,--,--
bp,--,bp,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,--,--,--,--,rp,--,--
rp,--,rp,--,rp,--,--,--,rp
--,rc,rn,--,rb,--,rn,rc,--
--,--,--,--,--,--,--,--,--
rr,--,rb,ra,rk,ra,--,rr,--
br,--,bb,ba,bk,ba,bb,br,--
--,--,--,--,--,--,--,--,--
--,--,bn,bc,bc,--,bn,--,--
bp,--,bp,--,bp,--,bp,rc,bp
--,--,--,--,--,--,--,--,--
--,--,--,--,--,--,rp,--,--
rp,--,rp,--,rp,--,--,--,rp
--,rc,rn,--,rb,--,rn,--,--
--,--,--,--,--,--,--,--,--
rr,--,rb,ra,rk,ra,--,rr,--
--,br,bb,ba,bk,ba,bb,br,--
--,--,--,--,--,--,--,--,--
--,--,bn,bc,bc,--,bn,--,--
bp,--,bp,--,bp,--,bp,rc,bp
--,--,--,--,--,--,--,--,--
--,--,--,--,--,--,rp,--,--
rp,--,rp,--,rp,--,--,--,rp
--,rc,rn,--,rb,--,rn,--,--
--,--,--,--,--,--,--,--,--
rr,--,rb,ra,rk,ra,--,rr,--
--,br,bb,ba,bk,ba,bb,br,--
--,--,--,--,--,--,--,--,--
--,--,bn,bc,bc,--,bn,--,--
bp,--,bp,--,bp,--,bp,rc,bp
--,--,--,--,--,--,--,--,--
--,--,--,--,--,--,rp,--,--
rp,--,rp,--,rp,--,--,--,rp
--,rc,rn,--,rb,--,rn,--,--
--,--,--,--,--,--,--,--,--
--,rr,rb,ra,rk,ra,--,rr,--
--,--,bb,ba,bk,ba,bb,br,--
--,--,--,--,--,--,--,--,--
--,--,bn,bc,bc,--,bn,--,--
bp,--,bp,--,bp,--,bp,rc,bp
--,--,--,--,--,--,--,--,--
--,--,--,--,--,--,rp,--,--
rp,br,rp,--,rp,--,--,--,rp
--,rc,rn,--,rb,--,rn,--,--
--,--,--,--,--,--,--,--,--
--,rr,rb,ra,rk,ra,--,rr,--
--,--,bb,ba,bk,ba,bb,br,--
--,--,--,--,--,--,--,--,--
--,--,bn,bc,bc,--,bn,--,--
bp,--,bp,--,bp,--,bp,rc,bp
--,--,--,--,--,--,--,--,--
--,--,--,--,--,--,rp,--,--
rp,br,rp,--,rp,--,--,--,rp
--,rc,rn,--,rb,--,rn,--,--
--,--,--,--,ra,--,--,--,--
--,rr,rb,ra,rk,--,--,rr,--
--,--,bb,ba,bk,ba,bb,br,--
--,--,--,--,--,--,--,--,--
--,--,bn,bc,bc,--,bn,--,--
bp,--,bp,--,bp,--,bp,rc,bp
--,--,--,--,--,--,--,--,--
--,--,--,--,--,--,rp,--,--
rp,--,br,--,rp,--,--,--,rp
--,rc,rn,--,rb,--,rn,--,--
--,--,--,--,ra,--,--,--,--
--,rr,rb,ra,rk,--,--,rr,--
--,--,bb,ba,bk,ba,bb,br,--
--,--,--,--,--,--,--,--,--
--,--,bn,bc,bc,--,bn,--,--
bp,--,bp,--,bp,--,bp,rc,bp
--,--,--,--,--,--,--,--,--
--,rc,--,--,--,--,rp,--,--
rp,--,br,--,rp,--,--,--,rp
