r,,,,,,,,
br,bn,bb,ba,bk,ba,bb,bn,br
--,--,--,--,--,--,--,--,--
--,bc,--,--,--,--,--,bc,--
bp,--,bp,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,rp,--,--,--,--,--,--
rp,--,--,--,rp,--,rp,--,rp
--,rc,--,--,--,--,--,rc,--
--,--,--,--,--,--,--,--,--
rr,rn,rb,ra,rk,ra,rb,rn,rr
br,bn,bb,ba,bk,ba,bb,bn,br
--,--,--,--,--,--,--,--,--
--,--,bc,--,--,--,--,bc,--
bp,--,bp,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,rp,--,--,--,--,--,--
rp,--,--,--,rp,--,rp,--,rp
--,rc,--,--,--,--,--,rc,--
--,--,--,--,--,--,--,--,--
rr,rn,rb,ra,rk,ra,rb,rn,rr
br,bn,bb,ba,bk,ba,bb,bn,br
--,--,--,--,--,--,--,--,--
--,--,bc,--,--,--,--,bc,--
bp,--,bp,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,rp,--,--,--,--,--,--
rp,--,--,--,rp,--,rp,--,rp
--,rc,--,--,rc,--,--,--,--
--,--,--,--,--,--,--,--,--
rr,rn,rb,ra,rk,ra,rb,rn,rr
br,bn,bb,ba,bk,ba,--,bn,br
--,--,--,--,--,--,--,--,--
--,--,bc,--,bb,--,--,bc,--
bp,--,bp,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,rp,--,--,--,--,--,--
rp,--,--,--,rp,--,rp,--,rp
--,rc,--,--,rc,--,--,--,--
--,--,--,--,--,--,--,--,--
rr,rn,rb,ra,rk,ra,rb,rn,rr
br,bn,bb,ba,bk,ba,--,bn,br
--,--,--,--,--,--,--,--,--
--,--,bc,--,bb,--,--,bc,--
bp,--,bp,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,rp,--,--,--,--,--,--
rp,--,--,--,rp,--,rp,--,rp
rn,rc,--,--,rc,--,--,--,--
--,--,--,--,--,--,--,--,--
rr,--,rb,ra,rk,ra,rb,rn,rr
br,bn,bb,ba,bk,ba,--,bn,br
--,--,--,--,--,--,--,--,--
--,--,bc,--,bb,--,--,bc,--
--,--,bp,--,bp,--,bp,--,bp
bp,--,--,--,--,--,--,--,--
--,--,rp,--,--,--,--,--,--
rp,--,--,--,rp,--,rp,--,rp
rn,rc,--,--,rc,--,--,--,--
--,--,--,--,--,--,--,--,--
rr,--,rb,ra,rk,ra,rb,rn,rr
br,bn,bb,ba,bk,ba,--,bn,br
--,--,--,--,--,--,--,--,--
--,--,bc,--,bb,--,--,bc,--
--,--,bp,--,bp,--,bp,--,bp
bp,--,--,--,--,--,--,--,--
--,--,rp,--,--,--,--,--,--
rp,--,--,--,rp,--,rp,--,rp
rn,rc,--,--,rc,--,rn,--,--
--,--,--,--,--,--,--,--,--
rr,--,rb,ra,rk,ra,rb,--,rr
br,bn,bb,ba,bk,ba,--,bn,br
--,--,--,--,--,--,--,--,--
--,--,bc,--,bb,--,--,bc,--
--,--,bp,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,--,--
bp,--,rp,--,--,--,--,--,--
rp,--,--,--,rp,--,rp,--,rp
rn,rc,--,--,rc,--,rn,--,--
--,--,--,--,--,--,--,--,--
rr,--,rb,ra,rk,ra,rb,--,rr
br,bn,bb,ba,bk,ba,--,bn,br
--,--,--,--,--,--,--,--,--
--,--,bc,--,bb,--,--,bc,--
--,--,bp,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,--,--
rp,--,rp,--,--,--,--,--,--
--,--,--,--,rp,--,rp,--,rp
rn,rc,--,--,rc,--,rn,--,--
--,--,--,--,--,--,--,--,--
rr,--,rb,ra,rk,ra,rb,--,rr
--,bn,bb,ba,bk,ba,--,bn,br
--,--,--,--,--,--,--,--,--
--,--,bc,--,bb,--,--,bc,--
--,--,bp,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,--,--
br,--,rp,--,--,--,--,--,--
--,--,--,--,rp,--,rp,--,rp
rn,rc,--,--,rc,--,rn,--,--
--,--,--,--,--,--,--,--,--
rr,--,rb,ra,rk,ra,rb,--,rr
--,bn,bb,ba,bk,ba,--,bn,br
--,--,--,--,--,--,--,--,--
--,--,bc,--,bb,--,--,bc,--
--,--,bp,--,rc,--,bp,--,bp
--,--,--,--,--,--,--,--,--
br,--,rp,--,--,--,--,--,--
--,--,--,--,rp,--,rp,--,rp
rn,rc,--,--,--,--,rn,--,--
--,--,--,--,--,--,--,--,--
rr,--,rb,ra,rk,ra,rb,--,rr
--,bn,bb,ba,bk,--,--,bn,br
--,--,--,--,ba,--,--,--,--
--,--,bc,--,bb,--,--,bc,--
--,--,bp,--,rc,--,bp,--,bp
--,--,--,--,--,--,--,--,--
br,--,rp,--,--,--,--,--,--
--,--,--,--,rp,--,rp,--,rp
rn,rc,--,--,--,--,rn,--,--
--,--,--,--,--,--,--,--,--
rr,--,rb,ra,rk,ra,rb,--,rr
--,bn,bb,ba,bk,--,--,bn,br
--,--,--,--,ba,--,--,--,--
--,--,bc,--,bb,--,--,bc,--
--,--,bp,--,rc,--,bp,--,bp
--,--,--,--,--,--,--,--,--
br,--,rp,--,--,--,--,--,--
--,--,--,--,rp,--,rp,--,rp
rn,rc,--,--,rb,--,rn,--,--
--,--,--,--,--,--,--,--,--
rr,--,rb,ra,rk,ra,--,--,rr
--,bn,bb,ba,bk,--,--,--,br
--,--,--,--,ba,--,--,--,--
--,--,bc,--,bb,--,bn,bc,--
--,--,bp,--,rc,--,bp,--,bp
--,--,--,--,--,--,--,--,--
br,--,rp,--,--,--,--,--,--
--,--,--,--,rp,--,rp,--,rp
rn,rc,--,--,rb,--,rn,--,--
--,--,--,--,--,--,--,--,--
rr,--,rb,ra,rk,ra,--,--,rr
--,bn,bb,ba,bk,--,--,--,br
--,--,--,--,ba,--,--,--,--
--,--,bc,--,bb,--,bn,bc,--
--,--,bp,--,--,--,bp,--,bp
--,--,--,--,--,--,--,--,--
br,--,rp,--,rc,--,--,--,--
--,--,--,--,rp,--,rp,--,rp
rn,rc,--,--,rb,--,rn,--,--
--,--,--,--,--,--,--,--,--
rr,--,rb,ra,rk,ra,--,--,rr
--,bn,bb,ba,bk,--,--,--,br
--,--,--,--,ba,--,--,--,--
--,--,bc,--,bb,--,bn,bc,--
--,--,bp,--,--,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,rp,--,rc,--,--,--,--
br,--,--,--,rp,--,rp,--,rp
rn,rc,--,--,rb,--,rn,--,--
--,--,--,--,--,--,--,--,--
rr,--,rb,ra,rk,ra,--,--,rr
--,bn,bb,ba,bk,--,--,--,br
--,--,--,--,ba,--,--,--,--
--,--,bc,--,bb,--,bn,bc,--
--,--,bp,--,--,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,rp,--,rc,--,--,--,--
br,--,--,--,rp,--,rp,--,rp
rn,rc,--,--,rb,--,rn,--,--
--,--,--,--,--,--,--,--,--
--,rr,rb,ra,rk,ra,--,--,rr
--,bn,bb,ba,bk,--,--,--,br
--,--,--,--,ba,--,--,--,--
--,--,bc,--,bb,--,--,bc,--
--,--,bp,--,bn,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,rp,--,rc,--,--,--,--
br,--,--,--,rp,--,rp,--,rp
rn,rc,--,--,rb,--,rn,--,--
--,--,--,--,--,--,--,--,--
--,rr,rb,ra,rk,ra,--,--,rr
--,bn,bb,ba,bk,--,--,--,br
--,--,--,--,ba,--,--,--,--
--,--,bc,--,bb,--,--,bc,--
--,--,bp,--,bn,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,rp,--,rc,--,rp,--,--
br,--,--,--,rp,--,--,--,rp
rn,rc,--,--,rb,--,rn,--,--
--,--,--,--,--,--,--,--,--
--,rr,rb,ra,rk,ra,--,--,rr
--,bn,bb,ba,bk,br,--,--,--
--,--,--,--,ba,--,--,--,--
--,--,bc,--,bb,--,--,bc,--
--,--,bp,--,bn,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,rp,--,rc,--,rp,--,--
br,--,--,--,rp,--,--,--,rp
rn,rc,--,--,rb,--,rn,--,--
--,--,--,--,--,--,--,--,--
--,rr,rb,ra,rk,ra,--,--,rr
--,bn,bb,ba,bk,br,--,--,--
--,--,--,--,ba,--,--,--,--
--,--,bc,--,bb,--,--,bc,--
--,--,bp,--,bn,--,bp,--,bp
--,--,--,--,rc,--,--,--,--
--,--,rp,--,--,--,rp,--,--
br,--,--,--,rp,--,--,--,rp
rn,rc,--,--,rb,--,rn,--,--
--,--,--,--,--,--,--,--,--
--,rr,rb,ra,rk,ra,--,--,rr
--,--,bb,ba,bk,br,--,--,--
