r,,,,,,,,
br,bn,bb,ba,bk,ba,bb,bn,br
--,--,--,--,--,--,--,--,--
--,bc,--,--,--,--,--,bc,--
bp,--,bp,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,rp,--,--,--,--,--,--
rp,--,--,--,rp,--,rp,--,rp
--,rc,--,--,--,--,--,rc,--
--,--,--,--,--,--,--,--,--
rr,rn,rb,ra,rk,ra,rb,rn,rr
br,bn,--,ba,bk,ba,bb,bn,br
--,--,--,--,--,--,--,--,--
--,bc,--,--,bb,--,--,bc,--
bp,--,bp,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,rp,--,--,--,--,--,--
rp,--,--,--,rp,--,rp,--,rp
--,rc,--,--,--,--,--,rc,--
--,--,--,--,--,--,--,--,--
rr,rn,rb,ra,rk,ra,rb,rn,rr
br,bn,--,ba,bk,ba,bb,bn,br
--,--,--,--,--,--,--,--,--
--,bc,--,--,bb,--,--,bc,--
bp,--,bp,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,rp,--,--,--,--,--,--
rp,--,--,--,rp,--,rp,--,rp
--,rc,--,--,rb,--,--,rc,--
--,--,--,--,--,--,--,--,--
rr,rn,--,ra,rk,ra,rb,rn,rr
br,bn,--,ba,bk,ba,bb,bn,br
--,--,--,--,--,--,--,--,--
--,bc,--,--,bb,--,--,bc,--
bp,--,bp,--,bp,--,--,--,bp
--,--,--,--,--,--,bp,--,--
--,--,rp,--,--,--,--,--,--
rp,--,--,--,rp,--,rp,--,rp
--,rc,--,--,rb,--,--,rc,--
--,--,--,--,--,--,--,--,--
rr,rn,--,ra,rk,ra,rb,rn,rr
br,bn,--,ba,bk,ba,bb,bn,br
--,--,--,--,--,--,--,--,--
--,bc,--,--,bb,--,--,bc,--
bp,--,bp,--,bp,--,--,--,bp
--,--,--,--,--,--,bp,--,--
--,--,rp,--,--,--,--,--,--
rp,--,--,--,rp,--,rp,--,rp
--,rc,--,--,rb,--,--,rc,rn
--,--,--,--,--,--,--,--,--
rr,rn,--,ra,rk,ra,rb,--,rr
br,bn,--,ba,bk,ba,bb,--,br
--,--,--,--,--,--,--,--,--
--,bc,--,--,bb,--,bn,bc,--
bp,--,bp,--,bp,--,--,--,bp
--,--,--,--,--,--,bp,--,--
--,--,rp,--,--,--,--,--,--
rp,--,--,--,rp,--,rp,--,rp
--,rc,--,--,rb,--,--,rc,rn
--,--,--,--,--,--,--,--,--
rr,rn,--,ra,rk,ra,rb,--,rr
br,bn,--,ba,bk,ba,bb,--,br
--,--,--,--,--,--,--,--,--
--,bc,--,--,bb,--,bn,bc,--
bp,--,bp,--,bp,--,--,--,bp
--,--,--,--,--,--,bp,--,--
--,--,rp,--,--,--,--,--,--
rp,--,--,--,rp,--,rp,--,rp
--,rc,rn,--,rb,--,--,rc,rn
--,--,--,--,--,--,--,--,--
rr,--,--,ra,rk,ra,rb,--,rr
br,bn,--,ba,bk,ba,bb,--,--
--,--,--,--,--,--,--,--,br
--,bc,--,--,bb,--,bn,bc,--
bp,--,bp,--,bp,--,--,--,bp
--,--,--,--,--,--,bp,--,--
--,--,rp,--,--,--,--,--,--
rp,--,--,--,rp,--,rp,--,rp
--,rc,rn,--,rb,--,--,rc,rn
--,--,--,--,--,--,--,--,--
rr,--,--,ra,rk,ra,rb,--,rr
br,bn,--,ba,bk,ba,bb,--,--
--,--,--,--,--,--,--,--,br
--,bc,--,--,bb,--,bn,bc,--
bp,--,bp,--,bp,--,--,--,bp
--,--,--,--,--,--,bp,--,--
--,--,rp,--,--,--,--,--,--
rp,--,--,--,rp,--,rp,--,rp
--,rc,rn,--,rb,--,--,rc,rn
--,--,--,--,--,--,--,--,rr
rr,--,--,ra,rk,ra,rb,--,--
br,--,--,ba,bk,ba,bb,--,--
--,--,--,bn,--,--,--,--,br
--,bc,--,--,bb,--,bn,bc,--
bp,--,bp,--,bp,--,--,--,bp
--,--,--,--,--,--,bp,--,--
--,--,rp,--,--,--,--,--,--
rp,--,--,--,rp,--,rp,--,rp
--,rc,rn,--,rb,--,--,rc,rn
--,--,--,--,--,--,--,--,rr
rr,--,--,ra,rk,ra,rb,--,--
br,--,--,ba,bk,ba,bb,--,--
--,--,--,bn,--,--,--,--,br
--,bc,--,--,bb,--,bn,bc,--
bp,--,bp,--,bp,--,--,--,bp
--,--,--,--,--,--,bp,--,--
--,--,rp,--,--,--,--,--,--
rp,--,--,--,rp,--,rp,--,rp
--,rc,rn,--,rb,--,--,rc,rn
--,--,--,rr,--,--,--,--,--
rr,--,--,ra,rk,ra,rb,--,--
br,--,--,ba,bk,ba,bb,--,--
--,--,--,bn,--,--,--,--,br
--,bc,--,--,bb,--,--,bc,--
bp,--,bp,--,bp,--,--,--,bp
--,--,--,--,--,--,bp,bn,--
--,--,rp,--,--,--,--,--,--
rp,--,--,--,rp,--,rp,--,rp
--,rc,rn,--,rb,--,--,rc,rn
--,--,--,rr,--,--,--,--,--
rr,--,--,ra,rk,ra,rb,--,--
br,--,--,ba,bk,ba,bb,--,--
--,--,--,bn,--,--,--,--,br
--,bc,--,--,bb,--,--,rc,--
bp,--,bp,--,bp,--,--,--,bp
--,--,--,--,--,--,bp,bn,--
--,--,rp,--,--,--,--,--,--
rp,--,--,--,rp,--,rp,--,rp
--,rc,rn,--,rb,--,--,--,rn
--,--,--,rr,--,--,--,--,--
rr,--,--,ra,rk,ra,rb,--,--
br,--,--,ba,bk,ba,bb,--,--
--,--,--,bn,--,--,--,--,br
--,--,--,--,bb,--,--,bc,--
bp,--,bp,--,bp,--,--,--,bp
--,--,--,--,--,--,bp,bn,--
--,--,rp,--,--,--,--,--,--
rp,--,--,--,rp,--,rp,--,rp
--,rc,rn,--,rb,--,--,--,rn
--,--,--,rr,--,--,--,--,--
rr,--,--,ra,rk,ra,rb,--,--
br,--,--,ba,bk,ba,bb,--,--
--,--,--,bn,--,--,--,--,br
--,--,--,--,bb,--,--,bc,--
bp,--,bp,--,bp,--,--,--,bp
--,--,--,--,--,--,bp,bn,--
--,--,rp,--,--,--,--,--,--
rp,--,--,--,rp,--,rp,--,rp
--,rc,rn,--,rb,--,--,--,rn
--,--,--,rr,--,--,--,--,--
--,rr,--,ra,rk,ra,rb,--,--
--,--,br,ba,bk,ba,bb,--,--
--,--,--,bn,--,--,--,--,br
--,--,--,--,bb,--,--,bc,--
bp,--,bp,--,bp,--,--,--,bp
--,--,--,--,--,--,bp,bn,--
--,--,rp,--,--,--,--,--,--
rp,--,--,--,rp,--,rp,--,rp
--,rc,rn,--,rb,--,--,--,rn
--,--,--,rr,--,--,--,--,--
--,rr,--,ra,rk,ra,rb,--,--
--,--,br,ba,bk,ba,bb,--,--
--,--,--,bn,--,--,--,--,br
--,--,--,--,bb,--,--,bc,--
bp,--,bp,--,bp,--,--,--,bp
--,--,--,rr,--,--,bp,bn,--
--,--,rp,--,--,--,--,--,--
rp,--,--,--,rp,--,rp,--,rp
--,rc,rn,--,rb,--,--,--,rn
--,--,--,--,--,--,--,--,--
--,rr,--,ra,rk,ra,rb,--,--
--,--,br,ba,bk,ba,bb,--,--
--,--,--,bn,--,--,--,--,br
--,--,--,--,bb,--,--,bc,--
bp,--,bp,--,bp,--,--,--,bp
--,--,--,rr,--,--,bp,--,--
--,--,rp,--,--,--,--,--,--
rp,--,--,--,rp,--,rp,--,bn
--,rc,rn,--,rb,--,--,--,rn
--,--,--,--,--,--,--,--,--
--,rr,--,ra,rk,ra,rb,--,--
--,--,br,ba,bk,ba,bb,--,--
--,--,--,bn,--,--,--,--,br
--,--,--,--,bb,--,--,bc,--
bp,--,bp,--,bp,--,--,--,bp
--,--,--,rr,--,--,bp,--,--
--,--,rp,rn,--,--,--,--,--
rp,--,--,--,rp,--,rp,--,bn
--,rc,--,--,rb,--,--,--,rn
--,--,--,--,--,--,--,--,--
--,rr,--,ra,rk,ra,rb,--,--
--,br,--,ba,bk,ba,bb,--,--
--,--,--,bn,--,--,--,--,br
--,--,--,--,bb,--,--,bc,--
bp,--,bp,--,bp,--,--,--,bp
--,--,--,rr,--,--,bp,--,--
--,--,rp,rn,--,--,--,--,--
rp,--,--,--,rp,--,rp,--,bn
--,rc,--,--,rb,--,--,--,rn
--,--,--,--,--,--,--,--,--
--,rr,--,ra,rk,ra,rb,--,--
--,br,--,ba,bk,ba,bb,--,--
--,--,--,bn,--,--,--,--,br
--,--,--,--,bb,--,--,bc,--
bp,rc,bp,--,bp,--,--,--,bp
