d,,,,,,,,
br,bn,bb,ba,bk,ba,bb,bn,br
--,--,--,--,--,--,--,--,--
--,bc,--,--,--,--,--,bc,--
bp,--,bp,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,--,--,--,--,--,--,--
rp,--,rp,--,rp,--,rp,--,rp
--,rc,--,--,rc,--,--,--,--
--,--,--,--,--,--,--,--,--
rr,rn,rb,ra,rk,ra,rb,rn,rr
br,--,bb,ba,bk,ba,bb,bn,br
--,--,--,--,--,--,--,--,--
--,bc,bn,--,--,--,--,bc,--
bp,--,bp,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,--,--,--,--,--,--,--
rp,--,rp,--,rp,--,rp,--,rp
--,rc,--,--,rc,--,--,--,--
--,--,--,--,--,--,--,--,--
rr,rn,rb,ra,rk,ra,rb,rn,rr
br,--,bb,ba,bk,ba,bb,bn,br
--,--,--,--,--,--,--,--,--
--,bc,bn,--,--,--,--,bc,--
bp,--,bp,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,--,--,--,--,--,--,--
rp,--,rp,--,rp,--,rp,--,rp
--,rc,--,--,rc,--,rn,--,--
--,--,--,--,--,--,--,--,--
rr,rn,rb,ra,rk,ra,rb,--,rr
br,--,bb,ba,bk,ba,bb,bn,br
--,--,--,--,--,--,--,--,--
--,bc,bn,--,--,bc,--,--,--
bp,--,bp,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,--,--,--,--,--,--,--
rp,--,rp,--,rp,--,rp,--,rp
--,rc,--,--,rc,--,rn,--,--
--,--,--,--,--,--,--,--,--
rr,rn,rb,ra,rk,ra,rb,--,rr
br,--,bb,ba,bk,ba,bb,bn,br
--,--,--,--,--,--,--,--,--
--,bc,bn,--,--,bc,--,--,--
bp,--,bp,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,--,--,--,--,--,--,--
rp,--,rp,--,rp,--,rp,--,rp
--,rc,--,--,rc,--,rn,--,--
--,--,--,--,--,--,--,--,--
rr,rn,rb,ra,rk,ra,rb,rr,--
br,--,bb,ba,bk,ba,bb,--,br
--,--,--,--,--,--,--,--,--
--,bc,bn,--,--,bc,bn,--,--
bp,--,bp,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,--,--,--,--,--,--,--
rp,--,rp,--,rp,--,rp,--,rp
--,rc,--,--,rc,--,rn,--,--
--,--,--,--,--,--,--,--,--
rr,rn,rb,ra,rk,ra,rb,rr,--
br,--,bb,ba,bk,ba,bb,--,br
--,--,--,--,--,--,--,--,--
--,bc,bn,--,--,bc,bn,--,--
bp,--,bp,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,rp,--,--,--,--,--,--
rp,--,--,--,rp,--,rp,--,rp
--,rc,--,--,rc,--,rn,--,--
--,--,--,--,--,--,--,--,--
rr,rn,rb,ra,rk,ra,rb,rr,--
br,--,bb,ba,bk,ba,bb,--,br
--,--,--,--,--,--,--,--,--
--,bc,bn,--,--,bc,bn,--,--
bp,--,bp,--,bp,--,--,--,bp
--,--,--,--,--,--,bp,--,--
--,--,rp,--,--,--,--,--,--
rp,--,--,--,rp,--,rp,--,rp
--,rc,--,--,rc,--,rn,--,--
--,--,--,--,--,--,--,--,--
rr,rn,rb,ra,rk,ra,rb,rr,--
br,--,bb,ba,bk,ba,bb,--,br
--,--,--,--,--,--,--,--,--
--,bc,bn,--,--,bc,bn,--,--
bp,rc,bp,--,bp,--,--,--,bp
--,--,--,--,--,--,bp,--,--
--,--,rp,--,--,--,--,--,--
rp,--,--,--,rp,--,rp,--,rp
--,--,--,--,rc,--,rn,--,--
--,--,--,--,--,--,--,--,--
rr,rn,rb,ra,rk,ra,rb,rr,--
br,--,bb,--,bk,ba,bb,--,br
--,--,--,--,ba,--,--,--,--
--,bc,bn,--,--,bc,bn,--,--
bp,rc,bp,--,bp,--,--,--,bp
--,--,--,--,--,--,bp,--,--
--,--,rp,--,--,--,--,--,--
rp,--,--,--,rp,--,rp,--,rp
--,--,--,--,rc,--,rn,--,--
--,--,--,--,--,--,--,--,--
rr,rn,rb,ra,rk,ra,rb,rr,--
br,--,bb,--,bk,ba,bb,--,br
--,--,--,--,ba,--,--,--,--
--,bc,bn,--,--,bc,bn,--,--
bp,--,bp,--,rc,--,--,--,bp
--,--,--,--,--,--,bp,--,--
--,--,rp,--,--,--,--,--,--
rp,--,--,--,rp,--,rp,--,rp
--,--,--,--,rc,--,rn,--,--
--,--,--,--,--,--,--,--,--
rr,rn,rb,ra,rk,ra,rb,rr,--
br,--,bb,--,bk,ba,bb,--,br
--,--,--,--,ba,--,--,--,--
--,bc,--,--,--,bc,bn,--,--
bp,--,bp,--,bn,--,--,--,bp
--,--,--,--,--,--,bp,--,--
--,--,rp,--,--,--,--,--,--
rp,--,--,--,rp,--,rp,--,rp
--,--,--,--,rc,--,rn,--,--
--,--,--,--,--,--,--,--,--
rr,rn,rb,ra,rk,ra,rb,rr,--
br,--,bb,--,bk,ba,bb,--,br
--,--,--,--,ba,--,--,--,--
--,bc,--,--,--,bc,bn,--,--
bp,--,bp,--,rc,--,--,--,bp
--,--,--,--,--,--,bp,--,--
--,--,rp,--,--,--,--,--,--
rp,--,--,--,rp,--,rp,--,rp
--,--,--,--,--,--,rn,--,--
--,--,--,--,--,--,--,--,--
rr,rn,rb,ra,rk,ra,rb,rr,--
br,--,bb,--,bk,ba,bb,--,br
--,--,--,--,ba,--,--,--,--
--,bc,--,--,bc,--,bn,--,--
bp,--,bp,--,rc,--,--,--,bp
--,--,--,--,--,--,bp,--,--
--,--,rp,--,--,--,--,--,--
rp,--,--,--,rp,--,rp,--,rp
--,--,--,--,--,--,rn,--,--
--,--,--,--,--,--,--,--,--
rr,rn,rb,ra,rk,ra,rb,rr,--
br,--,bb,--,bk,ba,bb,--,br
--,--,--,--,ba,--,--,--,--
--,bc,--,--,bc,--,bn,--,--
bp,--,bp,--,--,--,--,--,bp
--,--,--,--,rc,--,bp,--,--
--,--,rp,--,--,--,--,--,--
rp,--,--,--,rp,--,rp,--,rp
--,--,--,--,--,--,rn,--,--
--,--,--,--,--,--,--,--,--
rr,rn,rb,ra,rk,ra,rb,rr,--
--,br,bb,--,bk,ba,bb,--,br
--,--,--,--,ba,--,--,--,--
--,bc,--,--,bc,--,bn,--,--
bp,--,bp,--,--,--,--,--,bp
--,--,--,--,rc,--,bp,--,--
--,--,rp,--,--,--,--,--,--
rp,--,--,--,rp,--,rp,--,rp
--,--,--,--,--,--,rn,--,--
--,--,--,--,--,--,--,--,--
rr,rn,rb,ra,rk,ra,rb,rr,--
--,br,bb,--,bk,ba,bb,--,br
--,--,--,--,ba,--,--,--,--
--,bc,--,--,bc,--,bn,--,--
bp,--,bp,--,--,--,--,--,bp
--,--,--,--,rc,--,bp,--,--
--,--,rp,--,--,--,--,--,--
rp,--,--,--,rp,--,rp,--,rp
--,--,rn,--,--,--,rn,--,--
--,--,--,--,--,--,--,--,--
rr,--,rb,ra,rk,ra,rb,rr,--
--,br,bb,--,bk,ba,bb,--,br
--,--,--,--,ba,--,--,--,--
--,--,--,bc,bc,--,bn,--,--
bp,--,bp,--,--,--,--,--,bp
--,--,--,--,rc,--,bp,--,--
--,--,rp,--,--,--,--,--,--
rp,--,--,--,rp,--,rp,--,rp
--,--,rn,--,--,--,rn,--,--
--,--,--,--,--,--,--,--,--
rr,--,rb,ra,rk,ra,rb,rr,--
--,br,bb,--,bk,ba,bb,--,br
--,--,--,--,ba,--,--,--,--
--,--,--,bc,bc,--,bn,--,--
bp,--,bp,--,--,--,--,--,bp
--,--,--,--,rc,--,bp,--,--
--,--,rp,--,--,--,--,--,--
rp,--,--,--,rp,--,rp,--,rp
--,--,rn,--,rb,--,rn,--,--
--,--,--,--,--,--,--,--,--
rr,--,--,ra,rk,ra,rb,rr,--
--,--,bb,--,bk,ba,bb,--,br
--,--,--,--,ba,--,--,--,--
--,--,--,bc,bc,--,bn,--,--
bp,--,bp,--,--,--,--,--,bp
--,br,--,--,rc,--,bp,--,--
--,--,rp,--,--,--,--,--,--
rp,--,--,--,rp,--,rp,--,rp
--,--,rn,--,rb,--,rn,--,--
--,--,--,--,--,--,--,--,--
rr,--,--,ra,rk,ra,rb,rr,--
--,--,bb,--,bk,ba,bb,--,br
--,--,--,--,ba,--,--,--,--
--,--,--,bc,bc,--,bn,--,--
bp,--,bp,--,--,--,--,--,bp
