r,,,,,,,,
br,bn,bb,ba,bk,ba,bb,bn,br
--,--,--,--,--,--,--,--,--
--,bc,--,--,--,--,--,bc,--
bp,--,bp,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,rp,--,--,--,--,--,--
rp,--,--,--,rp,--,rp,--,rp
--,rc,--,--,--,--,--,rc,--
--,--,--,--,--,--,--,--,--
rr,rn,rb,ra,rk,ra,rb,rn,rr
br,bn,bb,ba,bk,ba,bb,bn,br
--,--,--,--,--,--,--,--,--
--,bc,--,--,bc,--,--,--,--
bp,--,bp,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,rp,--,--,--,--,--,--
rp,--,--,--,rp,--,rp,--,rp
--,rc,--,--,--,--,--,rc,--
--,--,--,--,--,--,--,--,--
rr,rn,rb,ra,rk,ra,rb,rn,rr
br,bn,bb,ba,bk,ba,bb,bn,br
--,--,--,--,--,--,--,--,--
--,bc,--,--,bc,--,--,--,--
bp,--,bp,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,rp,--,--,--,--,--,--
rp,--,--,--,rp,--,rp,--,rp
--,rc,--,--,--,--,rn,rc,--
--,--,--,--,--,--,--,--,--
rr,rn,rb,ra,rk,ra,rb,--,rr
br,bn,bb,ba,bk,ba,bb,--,br
--,--,--,--,--,--,--,--,--
--,bc,--,--,bc,--,bn,--,--
bp,--,bp,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,rp,--,--,--,--,--,--
rp,--,--,--,rp,--,rp,--,rp
--,rc,--,--,--,--,rn,rc,--
--,--,--,--,--,--,--,--,--
rr,rn,rb,ra,rk,ra,rb,--,rr
br,bn,bb,ba,bk,ba,bb,--,br
--,--,--,--,--,--,--,--,--
--,bc,--,--,bc,--,bn,--,--
bp,--,bp,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,rp,--,--,--,--,--,--
rp,--,--,--,rp,--,rp,--,rp
--,rc,--,--,--,--,rn,rc,--
--,--,--,--,--,--,--,--,--
rr,rn,rb,ra,rk,ra,rb,rr,--
br,bn,bb,ba,bk,ba,bb,br,--
--,--,--,--,--,--,--,--,--
--,bc,--,--,bc,--,bn,--,--
bp,--,bp,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,rp,--,--,--,--,--,--
rp,--,--,--,rp,--,rp,--,rp
--,rc,--,--,--,--,rn,rc,--
--,--,--,--,--,--,--,--,--
rr,rn,rb,ra,rk,ra,rb,rr,--
br,bn,bb,ba,bk,ba,bb,br,--
--,--,--,--,--,--,--,--,--
--,bc,--,--,bc,--,bn,--,--
bp,--,bp,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,rp,--,--,--,rp,--,--
rp,--,--,--,rp,--,--,--,rp
--,rc,--,--,--,--,rn,rc,--
--,--,--,--,--,--,--,--,--
rr,rn,rb,ra,rk,ra,rb,rr,--
br,bn,bb,ba,bk,ba,bb,--,--
--,--,--,--,--,--,--,--,--
--,bc,--,--,bc,--,bn,--,--
bp,--,bp,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,br,--
--,--,rp,--,--,--,rp,--,--
rp,--,--,--,rp,--,--,--,rp
--,rc,--,--,--,--,rn,rc,--
--,--,--,--,--,--,--,--,--
rr,rn,rb,ra,rk,ra,rb,rr,--
br,bn,bb,ba,bk,ba,bb,--,--
--,--,--,--,--,--,--,--,--
--,bc,--,--,bc,--,bn,--,--
bp,--,bp,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,br,--
--,--,rp,--,--,--,rp,--,--
rp,--,--,--,rp,--,--,--,rp
--,rc,rn,--,--,--,rn,rc,--
--,--,--,--,--,--,--,--,--
rr,--,rb,ra,rk,ra,rb,rr,--
br,--,bb,ba,bk,ba,bb,--,--
--,--,--,--,--,--,--,--,--
bn,bc,--,--,bc,--,bn,--,--
bp,--,bp,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,br,--
--,--,rp,--,--,--,rp,--,--
rp,--,--,--,rp,--,--,--,rp
--,rc,rn,--,--,--,rn,rc,--
--,--,--,--,--,--,--,--,--
rr,--,rb,ra,rk,ra,rb,rr,--
br,--,bb,ba,bk,ba,bb,--,--
--,--,--,--,--,--,--,--,--
bn,bc,--,--,bc,--,bn,--,--
bp,--,bp,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,br,--
--,--,rp,--,--,--,rp,--,--
rp,--,--,--,rp,--,--,--,rp
--,rc,rn,--,rb,--,rn,rc,--
--,--,--,--,--,--,--,--,--
rr,--,--,ra,rk,ra,rb,rr,--
br,--,bb,ba,bk,ba,bb,--,--
--,--,--,--,--,--,--,--,--
bn,bc,--,--,bc,--,bn,--,--
bp,--,--,--,bp,--,bp,--,bp
--,--,bp,--,--,--,--,br,--
--,--,rp,--,--,--,rp,--,--
rp,--,--,--,rp,--,--,--,rp
--,rc,rn,--,rb,--,rn,rc,--
--,--,--,--,--,--,--,--,--
rr,--,--,ra,rk,ra,rb,rr,--
br,--,bb,ba,bk,ba,bb,--,--
--,--,--,--,--,--,--,--,--
bn,bc,--,--,bc,--,bn,--,--
bp,--,--,--,bp,--,bp,--,bp
--,--,rp,--,--,--,--,br,--
--,--,--,--,--,--,rp,--,--
rp,--,--,--,rp,--,--,--,rp
--,rc,rn,--,rb,--,rn,rc,--
--,--,--,--,--,--,--,--,--
rr,--,--,ra,rk,ra,rb,rr,--
br,--,bb,ba,bk,ba,bb,--,--
--,--,--,--,--,--,--,--,--
bn,bc,--,--,bc,--,bn,--,--
bp,--,--,--,bp,--,bp,--,bp
--,--,br,--,--,--,--,--,--
--,--,--,--,--,--,rp,--,--
rp,--,--,--,rp,--,--,--,rp
--,rc,rn,--,rb,--,rn,rc,--
--,--,--,--,--,--,--,--,--
rr,--,--,ra,rk,ra,rb,rr,--
br,--,bb,ba,bk,ba,bb,--,--
--,--,--,--,--,--,--,--,--
bn,bc,--,--,bc,--,bn,--,--
bp,--,--,--,bp,--,bp,--,bp
--,--,br,--,--,--,--,--,--
--,--,--,rn,--,--,rp,--,--
rp,--,--,--,rp,--,--,--,rp
--,rc,--,--,rb,--,rn,rc,--
--,--,--,--,--,--,--,--,--
rr,--,--,ra,rk,ra,rb,rr,--
br,--,bb,ba,bk,ba,bb,--,--
--,--,--,--,--,--,--,--,--
bn,--,--,bc,bc,--,bn,--,--
bp,--,--,--,bp,--,bp,--,bp
--,--,br,--,--,--,--,--,--
--,--,--,rn,--,--,rp,--,--
rp,--,--,--,rp,--,--,--,rp
--,rc,--,--,rb,--,rn,rc,--
--,--,--,--,--,--,--,--,--
rr,--,--,ra,rk,ra,rb,rr,--
br,--,bb,ba,bk,ba,bb,--,--
--,--,--,--,--,--,--,--,--
bn,--,--,bc,bc,--,bn,--,--
bp,--,--,--,bp,--,bp,--,bp
--,--,br,--,--,--,--,--,--
--,--,--,rn,--,--,rp,rc,--
rp,--,--,--,rp,--,--,--,rp
--,rc,--,--,rb,--,rn,--,--
--,--,--,--,--,--,--,--,--
rr,--,--,ra,rk,ra,rb,rr,--
--,br,bb,ba,bk,ba,bb,--,--
--,--,--,--,--,--,--,--,--
bn,--,--,bc,bc,--,bn,--,--
bp,--,--,--,bp,--,bp,--,bp
--,--,br,--,--,--,--,--,--
--,--,--,rn,--,--,rp,rc,--
rp,--,--,--,rp,--,--,--,rp
--,rc,--,--,rb,--,rn,--,--
--,--,--,--,--,--,--,--,--
rr,--,--,ra,rk,ra,rb,rr,--
--,br,bb,ba,bk,ba,bb,--,--
--,--,--,--,--,--,--,--,--
bn,--,--,bc,bc,--,bn,--,--
bp,--,--,--,bp,--,bp,--,bp
--,--,br,--,--,--,--,--,--
--,--,--,rn,--,--,rp,rc,--
rp,--,--,--,rp,--,--,--,rp
--,--,rc,--,rb,--,rn,--,--
--,--,--,--,--,--,--,--,--
rr,--,--,ra,rk,ra,rb,rr,--
--,br,bb,--,bk,ba,bb,--,--
